[DEBUG pos594] donor vs corrupt L-inf: K=3.375000, V=5.312500
[DEBUG pos688] donor vs corrupt L-inf: K=1.179688
[ep 001] FAILURE | total 0/1 (0.0%)
[ep 002] FAILURE | total 0/2 (0.0%)
[ep 003] FAILURE | total 0/3 (0.0%)
[ep 004] SUCCESS | total 1/4 (25.0%)
[ep 005] FAILURE | total 1/5 (20.0%)
[ep 006] FAILURE | total 1/6 (16.7%)
[ep 007] SUCCESS | total 2/7 (28.6%)
[ep 008] SUCCESS | total 3/8 (37.5%)
[ep 009] FAILURE | total 3/9 (33.3%)
[ep 010] FAILURE | total 3/10 (30.0%)
[ep 011] FAILURE | total 3/11 (27.3%)
[ep 012] SUCCESS | total 4/12 (33.3%)
[ep 013] SUCCESS | total 5/13 (38.5%)
[ep 014] FAILURE | total 5/14 (35.7%)
[ep 015] SUCCESS | total 6/15 (40.0%)
[ep 016] FAILURE | total 6/16 (37.5%)
[ep 017] FAILURE | total 6/17 (35.3%)
[ep 018] FAILURE | total 6/18 (33.3%)
[ep 019] FAILURE | total 6/19 (31.6%)
[ep 020] SUCCESS | total 7/20 (35.0%)
[ep 021] SUCCESS | total 8/21 (38.1%)
[ep 022] FAILURE | total 8/22 (36.4%)
[ep 023] SUCCESS | total 9/23 (39.1%)
[ep 024] SUCCESS | total 10/24 (41.7%)
[ep 025] SUCCESS | total 11/25 (44.0%)
=== TASK DONE | success rate: 11/25 (44.0%) ===
=== FINAL | total success rate: 11/25 (44.0%) ===
