[DEBUG pos594] donor vs corrupt L-inf: K=3.125000, V=3.640625
[DEBUG pos688] donor vs corrupt L-inf: K=2.375000
[ep 001] FAILURE | total 0/1 (0.0%)
[ep 002] SUCCESS | total 1/2 (50.0%)
[ep 003] SUCCESS | total 2/3 (66.7%)
[ep 004] SUCCESS | total 3/4 (75.0%)
[ep 005] SUCCESS | total 4/5 (80.0%)
[ep 006] SUCCESS | total 5/6 (83.3%)
[ep 007] FAILURE | total 5/7 (71.4%)
[ep 008] SUCCESS | total 6/8 (75.0%)
[ep 009] SUCCESS | total 7/9 (77.8%)
[ep 010] FAILURE | total 7/10 (70.0%)
=== TASK DONE | success rate: 7/10 (70.0%) ===
=== FINAL | total success rate: 7/10 (70.0%) ===
