[DEBUG pos594] donor vs corrupt L-inf: K=3.125000, V=3.640625
[DEBUG pos688] donor vs corrupt L-inf: K=2.375000
[ep 001] FAILURE | total 0/1 (0.0%)
[ep 002] SUCCESS | total 1/2 (50.0%)
[ep 003] SUCCESS | total 2/3 (66.7%)
[ep 004] SUCCESS | total 3/4 (75.0%)
[ep 005] SUCCESS | total 4/5 (80.0%)
[ep 006] SUCCESS | total 5/6 (83.3%)
[ep 007] FAILURE | total 5/7 (71.4%)
[ep 008] SUCCESS | total 6/8 (75.0%)
[ep 009] SUCCESS | total 7/9 (77.8%)
[ep 010] FAILURE | total 7/10 (70.0%)
[ep 011] SUCCESS | total 8/11 (72.7%)
[ep 012] SUCCESS | total 9/12 (75.0%)
[ep 013] SUCCESS | total 10/13 (76.9%)
[ep 014] SUCCESS | total 11/14 (78.6%)
[ep 015] SUCCESS | total 12/15 (80.0%)
[ep 016] SUCCESS | total 13/16 (81.2%)
[ep 017] SUCCESS | total 14/17 (82.4%)
[ep 018] SUCCESS | total 15/18 (83.3%)
[ep 019] SUCCESS | total 16/19 (84.2%)
[ep 020] FAILURE | total 16/20 (80.0%)
[ep 021] SUCCESS | total 17/21 (81.0%)
[ep 022] SUCCESS | total 18/22 (81.8%)
[ep 023] SUCCESS | total 19/23 (82.6%)
[ep 024] SUCCESS | total 20/24 (83.3%)
[ep 025] SUCCESS | total 21/25 (84.0%)
=== TASK DONE | success rate: 21/25 (84.0%) ===
=== FINAL | total success rate: 21/25 (84.0%) ===
