[DEBUG pos594] donor vs corrupt L-inf: K=3.562500, V=4.031250
[DEBUG pos688] donor vs corrupt L-inf: K=2.500000
[ep 001] FAILURE | total 0/1 (0.0%)
[ep 002] FAILURE | total 0/2 (0.0%)
[ep 003] FAILURE | total 0/3 (0.0%)
[ep 004] FAILURE | total 0/4 (0.0%)
[ep 005] SUCCESS | total 1/5 (20.0%)
[ep 006] FAILURE | total 1/6 (16.7%)
[ep 007] FAILURE | total 1/7 (14.3%)
[ep 008] FAILURE | total 1/8 (12.5%)
[ep 009] SUCCESS | total 2/9 (22.2%)
[ep 010] FAILURE | total 2/10 (20.0%)
[ep 011] FAILURE | total 2/11 (18.2%)
[ep 012] FAILURE | total 2/12 (16.7%)
[ep 013] FAILURE | total 2/13 (15.4%)
[ep 014] FAILURE | total 2/14 (14.3%)
[ep 015] FAILURE | total 2/15 (13.3%)
[ep 016] FAILURE | total 2/16 (12.5%)
[ep 017] SUCCESS | total 3/17 (17.6%)
[ep 018] FAILURE | total 3/18 (16.7%)
[ep 019] FAILURE | total 3/19 (15.8%)
[ep 020] FAILURE | total 3/20 (15.0%)
[ep 021] FAILURE | total 3/21 (14.3%)
[ep 022] FAILURE | total 3/22 (13.6%)
[ep 023] FAILURE | total 3/23 (13.0%)
[ep 024] FAILURE | total 3/24 (12.5%)
[ep 025] FAILURE | total 3/25 (12.0%)
=== TASK DONE | success rate: 3/25 (12.0%) ===
=== FINAL | total success rate: 3/25 (12.0%) ===
