[DEBUG pos594] donor vs corrupt L-inf: K=3.562500, V=4.031250
[DEBUG pos688] donor vs corrupt L-inf: K=2.500000
[ep 001] FAILURE | total 0/1 (0.0%)
[ep 002] FAILURE | total 0/2 (0.0%)
[ep 003] FAILURE | total 0/3 (0.0%)
[ep 004] FAILURE | total 0/4 (0.0%)
[ep 005] SUCCESS | total 1/5 (20.0%)
[ep 006] SUCCESS | total 2/6 (33.3%)
[ep 007] FAILURE | total 2/7 (28.6%)
[ep 008] FAILURE | total 2/8 (25.0%)
[ep 009] SUCCESS | total 3/9 (33.3%)
[ep 010] FAILURE | total 3/10 (30.0%)
=== TASK DONE | success rate: 3/10 (30.0%) ===
=== FINAL | total success rate: 3/10 (30.0%) ===
