[DEBUG pos594] donor vs corrupt L-inf: K=2.125000, V=2.343750
[DEBUG pos688] donor vs corrupt L-inf: K=1.421875
[ep 001] SUCCESS | total 1/1 (100.0%)
[ep 002] FAILURE | total 1/2 (50.0%)
[ep 003] SUCCESS | total 2/3 (66.7%)
[ep 004] SUCCESS | total 3/4 (75.0%)
[ep 005] FAILURE | total 3/5 (60.0%)
[ep 006] SUCCESS | total 4/6 (66.7%)
[ep 007] SUCCESS | total 5/7 (71.4%)
[ep 008] FAILURE | total 5/8 (62.5%)
[ep 009] FAILURE | total 5/9 (55.6%)
[ep 010] SUCCESS | total 6/10 (60.0%)
[ep 011] SUCCESS | total 7/11 (63.6%)
[ep 012] SUCCESS | total 8/12 (66.7%)
[ep 013] SUCCESS | total 9/13 (69.2%)
[ep 014] FAILURE | total 9/14 (64.3%)
[ep 015] SUCCESS | total 10/15 (66.7%)
[ep 016] SUCCESS | total 11/16 (68.8%)
[ep 017] SUCCESS | total 12/17 (70.6%)
[ep 018] SUCCESS | total 13/18 (72.2%)
[ep 019] FAILURE | total 13/19 (68.4%)
[ep 020] FAILURE | total 13/20 (65.0%)
[ep 021] SUCCESS | total 14/21 (66.7%)
[ep 022] SUCCESS | total 15/22 (68.2%)
[ep 023] SUCCESS | total 16/23 (69.6%)
[ep 024] SUCCESS | total 17/24 (70.8%)
[ep 025] SUCCESS | total 18/25 (72.0%)
=== TASK DONE | success rate: 18/25 (72.0%) ===
=== FINAL | total success rate: 18/25 (72.0%) ===
